dataset,algorithm,seed,step,run_result_str,run_result_val,run_result_type,filename_best,baseline_best_score,improvement_pct,step_portion
sat4j,gp,3,159,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,15,0.168,0.168,success,0.168,0.168,0.0,1-20%
sat4j,gp,3,160,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,161,0.168,0.168,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,162,0.168,0.168,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,163,0.168,0.168,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,164,0.168,0.168,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,165,0.168,0.168,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,166,0.172,0.172,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,167,0.172,0.172,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,168,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,81-100%
sat4j,gp,3,169,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,81-100%
sat4j,gp,3,16,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,1-20%
sat4j,gp,3,170,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,81-100%
sat4j,gp,3,171,0.165,0.165,success,0.168,0.168,0.0,81-100%
sat4j,gp,3,172,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,173,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,174,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,175,0.173,0.173,success,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,176,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,177,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,178,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,179,COMPILE_CODE_ERROR,,compile_error,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,17,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,1-20%
sat4j,gp,3,180,0.165,0.165,success,0.165,0.168,1.7857142857142874,81-100%
sat4j,gp,3,181,0.168,0.168,success,0.165,0.168,1.7857142857142874,81-100%
